FID,ESTADO,ET_ID,PROYECTO,FechaAlta,Actualizad,LONGITUD,RED,TRAMO,SECTOR,PGOU,Shape__Length
1,RED ACTUAL,0,0,,,3,,0,,,3.52003571341315
2,RED ACTUAL,1,0,,,59,,0,,,74.4957277971001
3,RED ACTUAL,258,0,,,802,,0,,,1009.38977648055
4,RED ACTUAL,259,0,,,642,,0,,,807.9025277638
5,RED ACTUAL,2,0,,,5,,0,,,6.45398181658912
6,RED ACTUAL,129,0,,,63,,0,,,78.7375049906461
7,RED ACTUAL,3,0,,,4,,0,,,4.99636135483066
8,RED ACTUAL,260,0,,,859,,0,,,1083.44782874392
9,RED ACTUAL,130,0,,,529,,0,,,664.031753929524
10,RED ACTUAL,4,0,,,4,,0,,,5.44165371046546
11,RED ACTUAL,261,0,,,580,,0,,,732.097222350665
12,RED ACTUAL,131,0,,,92,,0,,,116.065384433351
13,RED ACTUAL,5,0,,,1625,,0,,,2050.97042384376
14,RED ACTUAL,263,0,,,936,,0,,,1178.66874329562
15,RED ACTUAL,132,0,,,1338,,0,,,1682.98822111496
16,RED ACTUAL,6,0,,,665,,0,,,837.050914333201
17,RED ACTUAL,133,0,,,1925,,0,,,2364.70423278055
18,RED ACTUAL,264,0,,,794,,0,,,1000.17916513871
19,RED ACTUAL,7,0,,,1236,,0,,,1559.17495377316
20,RED ACTUAL,134,0,,,1969,,0,,,2480.56691372359
21,RED ACTUAL,265,0,,,355,,0,,,446.610229199286
22,RED ACTUAL,8,0,,,336,,0,,,422.947815302078
23,RED ACTUAL,135,0,,,275,,0,,,345.542553571178
24,RED ACTUAL,266,0,,,282,,0,,,355.998150578419
25,RED ACTUAL,9,0,,,420,,0,,,529.455993002243
26,RED ACTUAL,136,0,,,603,,0,,,759.788773632385
27,RED ACTUAL,267,0,,,601,,0,,,756.750699289805
28,RED ACTUAL,10,0,,,1064,,0,,,1341.30587783656
29,RED ACTUAL,137,0,,,1024,,0,,,1290.23104106927
30,RED ACTUAL,268,0,,,23,,0,,,28.9750478385688
31,RED ACTUAL,11,0,,,486,,0,,,612.624173948721
32,RED ACTUAL,138,0,,,413,,0,,,520.306722722262
33,RED ACTUAL,269,0,,,23,,0,,,28.9780424681525
34,RED ACTUAL,12,0,,,284,,0,,,356.639711625168
35,RED ACTUAL,139,0,,,538,,0,,,677.091890005674
36,RED ACTUAL,270,0,,,1001,,0,,,1261.45388779322
37,RED ACTUAL,13,0,,,239,,0,,,301.327267973133
38,RED ACTUAL,140,0,,,132,,0,,,165.728601942354
39,RED ACTUAL,271,0,,,732,,0,,,919.244493265065
40,RED ACTUAL,14,0,,,787,,0,,,990.032015915055
41,RED ACTUAL,141,0,,,611,,0,,,769.512866273308
42,RED ACTUAL,272,0,,,34,,0,,,43.4118592312099
43,RED ACTUAL,142,0,,,80,,0,,,100.816809644577
44,RED ACTUAL,15,0,,,2270,,0,,,2856.00922693637
45,RED ACTUAL,274,0,,,626,,0,,,787.134021855403
46,RED ACTUAL,143,0,,,316,,0,,,398.971793198361
47,RED ACTUAL,16,0,,,480,,0,,,605.087375610863
48,RED ACTUAL,275,0,,,325,,0,,,408.961000855847
49,RED ACTUAL,144,0,,,586,,0,,,738.784168460778
50,RED ACTUAL,17,0,,,74,,0,,,93.0221967997861
51,RED ACTUAL,276,0,,,171,,0,,,215.405716522159
52,RED ACTUAL,145,0,,,588,,0,,,740.788716886108
53,RED ACTUAL,18,0,,,177,,0,,,223.236360560359
54,RED ACTUAL,277,0,,,124,,0,,,155.971640244584
55,RED ACTUAL,146,0,,,1145,,0,,,1438.72526728783
56,RED ACTUAL,19,0,,,126,,0,,,159.456336586204
57,RED ACTUAL,147,0,,,44,,0,,,54.7988273658967
58,RED ACTUAL,278,0,,,163,,0,,,204.660675572654
59,RED ACTUAL,20,0,,,58,,0,,,73.7482383194961
60,RED ACTUAL,148,0,,,651,,0,,,821.617574905501
61,RED ACTUAL,279,0,,,488,,0,,,613.632679316742
62,RED ACTUAL,21,0,,3/17/2017 12:00:00 AM,664,,0,,,837.855912699469
63,RED ACTUAL,149,0,,,478,,0,,,602.944954238176
64,RED ACTUAL,280,0,,,95,,0,,,120.145719243088
65,RED ACTUAL,22,0,,,1009,,0,,,1272.46567120819
66,RED ACTUAL,150,0,,,401,,0,,,506.232402884118
67,RED ACTUAL,284,0,,3/17/2017 12:00:00 AM,176,,0,,,222.359822195442
68,RED ACTUAL,23,0,,,1208,,0,,,1522.44619623185
69,RED ACTUAL,151,0,,,3174,,0,,,3999.47176520291
70,RED ACTUAL,291,0,,3/17/2017 12:00:00 AM,540,,0,,,680.992330087831
71,RED ACTUAL,24,0,,,608,,0,,,765.1463255573
72,RED ACTUAL,152,0,,,796,,0,,,1003.07244577497
73,RED ACTUAL,292,0,,3/17/2017 12:00:00 AM,102,,0,,,128.702767810332
74,RED ACTUAL,25,0,,,79,,0,,,98.8701520978902
75,RED ACTUAL,153,0,,,1385,,0,,,1742.53229218526
76,RED ACTUAL,293,0,,3/17/2017 12:00:00 AM,169,,0,,,212.787489188536
77,RED ACTUAL,26,0,,,125,,0,,,157.279953315448
78,RED ACTUAL,154,0,,,3495,,0,,,4397.09864036998
79,RED ACTUAL,294,0,,3/17/2017 12:00:00 AM,146,,0,,,184.169172767466
80,RED ACTUAL,27,0,,3/17/2017 12:00:00 AM,107,,0,,,134.968805596341
81,RED ACTUAL,155,0,,,427,,0,,,538.043353712856
82,RED ACTUAL,295,0,,3/17/2017 12:00:00 AM,94,,0,,,118.550107252989
83,RED ACTUAL,28,0,,,141,,0,,,178.252994010193
84,RED ACTUAL,156,0,,,460,,0,,,579.386926307666
85,RED ACTUAL,309,0,,3/17/2017 12:00:00 AM,410,,0,,,515.59614442582
86,RED ACTUAL,29,0,,,655,,0,,,826.345987590268
87,RED ACTUAL,157,0,,,97,,0,,,121.586013637621
88,RED ACTUAL,314,0,9/1/2014 12:00:00 AM,3/17/2017 12:00:00 AM,463,,0,,,583.938392419262
89,RED ACTUAL,30,0,,3/17/2017 12:00:00 AM,849,,0,,,1069.8959342638
90,RED ACTUAL,158,0,,,1202,,0,,,1513.35497131034
91,RED ACTUAL,321,0,,3/17/2017 12:00:00 AM,3165,,0,,,3978.31578962674
92,RED ACTUAL,31,0,,,1249,,0,,,1571.13807012075
93,RED ACTUAL,159,0,,,239,,0,,,300.28658693801
94,RED ACTUAL,322,0,,,158,,0,,,198.629684382779
95,RED ACTUAL,32,0,,,424,,0,,,535.001227431554
96,RED ACTUAL,160,0,,,1643,,0,,,2066.59722282136
97,RED ACTUAL,323,0,,,604,,0,,,761.672712752689
98,RED ACTUAL,33,0,,,702,,0,,,884.577603494464
99,RED ACTUAL,161,0,,,416,,0,,,522.953765449196
100,RED ACTUAL,162,0,,,231,,0,,,291.240089831568
101,RED ACTUAL,34,0,,,218,,0,,,274.52658299708
102,RED ACTUAL,324,0,,,199,,0,,,250.469796876124
103,RED ACTUAL,163,0,,,12,,0,,,15.1329739203624
